"1. Company name (For example, UPMC, Penn State Health, CVS, Sadler Health Center, etc.)","2. Name of vaccine providing entity (For example, UPMC Williamsport, Penn State Health Holy Spirit Medical Center, CVS Pharmacy Camp Hill, Sadler Health Center, etc.)",4. Provider Address,5. Point of contact for vaccine providing entity,6. Phone number for point of contact,POCemail,8. Type of Facility,"9. Link to public facing information, if applicable, on how to schedule an appointment to get vaccinated",Starting time,Ending time,Starting time,Ending time,Starting time,Ending time,Starting time,Ending time,Starting time,Ending time,Starting time,Ending time,Starting time,Ending time,What identification requirements does your facility have for vaccine recipients?,Notes,VaccineYesNoExp,x,y
"Giant Eagle, Inc.",Giant Eagle Pharmacy #4012,2357 E. State Street Hermitage PA 16148,,1-800-553-2324,,Pharmacy,https://www.gianteagle.com/covidvaccine,9:00 AM,5:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,6:00 PM,Name / Date of Birth,Primary Corporate Contact - Chiara Gessler - chiara.gessler@gianteagle.com,No Vaccine Yet,-80.46668304,41.23502099
"Giant Eagle, Inc.",Giant Eagle Pharmacy #2424,"1300 Country Club Road Monongahela	 PA 15063",,1-800-553-2324,,Pharmacy,https://www.gianteagle.com/covidvaccine,9:00 AM,5:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,6:00 PM,Name / Date of Birth,Primary Corporate Contact - Chiara Gessler - chiara.gessler@gianteagle.com,No Vaccine Yet,-79.91672098,40.17234302
"Giant Eagle, Inc.",Giant Eagle Pharmacy #2402,"4192 Glades Pike	Somerset, PA 15501",,1-800-553-2324,,Pharmacy,https://www.gianteagle.com/covidvaccine,9:00 AM,5:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,6:00 PM,Name / Date of Birth,Primary Corporate Contact - Chiara Gessler - chiara.gessler@gianteagle.com,No Vaccine Yet,-79.10793002,40.01145
"Giant Eagle, Inc.",Giant Eagle Pharmacy #2435,1117 Milltown Rd Verona PA 15147,,1-800-553-2324,,Pharmacy,https://www.gianteagle.com/covidvaccine,9:00 AM,5:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 PM,9:00 PM,9:00 AM,6:00 PM,Name / Date of Birth,Primary Corporate Contact - Chiara Gessler - chiara.gessler@gianteagle.com,No Vaccine Yet,-79.79054903,40.49842499
"Giant Eagle, Inc.",Giant Eagle Pharmacy #4035,606 Erie St. Edinboro PA 16412,,1-800-553-2324,,Pharmacy,https://www.gianteagle.com/covidvaccine,9:00 AM,5:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,6:00 PM,Name / Date of Birth,Primary Corporate Contact - Chiara Gessler - chiara.gessler@gianteagle.com,No Vaccine Yet,-80.12657198,41.88898202
"Giant Eagle, Inc.",Giant Eagle Pharmacy #2404,"200 Allegheny River Blvd.	Verona, PA 15147",,1-800-553-2324,,Pharmacy,https://www.gianteagle.com/covidvaccine,9:00 AM,5:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,6:00 PM,Name / Date of Birth,Primary Corporate Contact - Chiara Gessler - chiara.gessler@gianteagle.com,No Vaccine Yet,-79.84447299,40.49923401
"Giant Eagle, Inc.",Giant Eagle Pharmacy #2440,"700 Moraine Point Plaza Butler	 PA 16001",,1-800-553-2324,,Pharmacy,https://www.gianteagle.com/covidvaccine,9:00 AM,5:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,6:00 PM,Name / Date of Birth,Primary Corporate Contact - Chiara Gessler - chiara.gessler@gianteagle.com,No Vaccine Yet,-79.94970203,40.87503114
"Giant Eagle, Inc.",Giant Eagle Pharmacy #2405,"999 N. Eighty Eight Road Rices Landing, PA	15357",,1-800-553-2324,,Pharmacy,https://www.gianteagle.com/covidvaccine,9:00 AM,5:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,6:00 PM,Name / Date of Birth,Primary Corporate Contact - Chiara Gessler - chiara.gessler@gianteagle.com,No Vaccine Yet,-80.01501757,39.94298424
"Giant Eagle, Inc.",Giant Eagle Pharmacy #2409,"1705 S Braddock Avenue	Pittsburgh, PA 15218",,1-800-553-2324,,Pharmacy,https://www.gianteagle.com/covidvaccine,9:00 AM,5:00 PM,8:00 AM,9:00 PM,8:00 AM,9:00 PM,8:00 AM,9:00 PM,8:00 AM,9:00 PM,8:00 AM,9:00 PM,9:00 AM,6:00 PM,Name / Date of Birth,Primary Corporate Contact - Chiara Gessler - chiara.gessler@gianteagle.com,No Vaccine Yet,-79.88684896,40.425636
"Giant Eagle, Inc.",Giant Eagle Pharmacy #2455,"3220 Leechburg Road Lower Burrell PA	 15068",,1-800-553-2324,,Pharmacy,https://www.gianteagle.com/covidvaccine,9:00 AM,5:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,6:00 PM,Name / Date of Birth,Primary Corporate Contact - Chiara Gessler - chiara.gessler@gianteagle.com,No Vaccine Yet,-79.70861386,40.58443835
"Giant Eagle, Inc.",Giant Eagle Pharmacy #2413,"2000 Penny Lane Drive Jeannette, PA 15644",,1-800-553-2324,,Pharmacy,https://www.gianteagle.com/covidvaccine,9:00 AM,5:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,6:00 PM,Name / Date of Birth,Primary Corporate Contact - Chiara Gessler - chiara.gessler@gianteagle.com,No Vaccine Yet,-79.64198311,40.36546721
"Giant Eagle, Inc.",Giant Eagle Pharmacy #4038,4265 Buffalo Rd Erie PA 16510,,1-800-553-2324,,Pharmacy,https://www.gianteagle.com/covidvaccine,9:00 AM,5:00 PM,8:00 AM,9:00 PM,8:00 AM,9:00 PM,8:00 AM,9:00 PM,8:00 AM,9:00 PM,8:00 AM,9:00 PM,9:00 AM,6:00 PM,Name / Date of Birth,Primary Corporate Contact - Chiara Gessler - chiara.gessler@gianteagle.com,No Vaccine Yet,-80.00391196,42.14345999
"Giant Eagle, Inc.",Giant Eagle Pharmacy #4706,"3701 Route 88 Finleyville, PA 15332",,1-800-553-2324,,Pharmacy,https://www.gianteagle.com/covidvaccine,9:00 AM,5:00 PM,8:00 AM,9:00 PM,8:00 AM,9:00 PM,8:00 AM,9:00 PM,8:00 AM,9:00 PM,8:00 AM,9:00 PM,9:00 AM,6:00 PM,Name / Date of Birth,Primary Corporate Contact - Chiara Gessler - chiara.gessler@gianteagle.com,No Vaccine Yet,-80.004996,40.24881799
"Giant Eagle, Inc.",Giant Eagle Pharmacy #4050,"9125 W Ridge Road Girard PA	16417",,1-800-553-2324,,Pharmacy,https://www.gianteagle.com/covidvaccine,9:00 AM,5:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,6:00 PM,Name / Date of Birth,Primary Corporate Contact - Chiara Gessler - chiara.gessler@gianteagle.com,No Vaccine Yet,-80.30263503,42.00845402
"Giant Eagle, Inc.",Giant Eagle Pharmacy #5103,"2611 Freeport Rd. Pittsburgh, PA 15238",,1-800-553-2324,,Pharmacy,https://www.gianteagle.com/covidvaccine,9:00 AM,5:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,6:00 PM,Name / Date of Birth,Primary Corporate Contact - Chiara Gessler - chiara.gessler@gianteagle.com,No Vaccine Yet,-79.838839,40.537902
"Giant Eagle, Inc.",Giant Eagle Pharmacy #4077,3230 Wilmington Road New Castle PA 16105,,1-800-553-2324,,Pharmacy,https://www.gianteagle.com/covidvaccine,9:00 AM,5:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,6:00 PM,Name / Date of Birth,Primary Corporate Contact - Chiara Gessler - chiara.gessler@gianteagle.com,No Vaccine Yet,-80.35499502,41.05384799
"Giant Eagle, Inc.",Giant Eagle Pharmacy #5104,"2840 Washington Road McMurray, PA 15317",,1-800-553-2324,,Pharmacy,https://www.gianteagle.com/covidvaccine,9:00 AM,5:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,6:00 PM,Name / Date of Birth,Primary Corporate Contact - Chiara Gessler - chiara.gessler@gianteagle.com,No Vaccine Yet,-80.097526,40.30379699
"Giant Eagle, Inc.",Giant Eagle Pharmacy #4093,2501 West 12th St. Erie PA 16505,,1-800-553-2324,,Pharmacy,https://www.gianteagle.com/covidvaccine,9:00 AM,5:00 PM,8:00 AM,9:00 PM,8:00 AM,9:00 PM,8:00 AM,9:00 PM,8:00 AM,9:00 PM,8:00 AM,9:00 PM,9:00 AM,6:00 PM,Name / Date of Birth,Primary Corporate Contact - Chiara Gessler - chiara.gessler@gianteagle.com,No Vaccine Yet,-80.13502102,42.10293999
"Giant Eagle, Inc.",Giant Eagle Pharmacy #2445,"419 South Main Street Greenville, PA 16125",,1-800-553-2324,,Pharmacy,https://www.gianteagle.com/covidvaccine,9:00 AM,3:00 PM,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 PM,5:00 PM,Name / Date of Birth,Primary Corporate Contact - Chiara Gessler - chiara.gessler@gianteagle.com,No Vaccine Yet,-80.37104804,41.40977
Penn State Health,Milton S. Hershey Medical Center,500 University Drive Hershey PA 17033,"Roger Kaiser, MD, Senior Vice President of Medical Affairs",1-844-774-8883,n/a,Hospital,,,,,,,,,,,,,,,,photo identification,Hours vary by day,Yes,-76.67421354,40.26567954
"Giant Eagle, Inc.",Giant Eagle Pharmacy #6379,"420 E. Waterfront Drive Homestead, PA 15120",,1-800-553-2324,,Pharmacy,https://www.gianteagle.com/covidvaccine,9:00 AM,5:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,6:00 PM,Name / Date of Birth,Primary Corporate Contact - Chiara Gessler - chiara.gessler@gianteagle.com,No Vaccine Yet,-79.90849104,40.41100899
primary care  health services,mckeesport  family health center ,627 lysle blvd mckeesport pa 15132,Debra  Hilla   RN ,412-664-4112,dhilla@pchspitt.org ,Federally Qualified Health Center (FQHC),Call  412-664-4112,,,,,,,9:00 AM,3:00 PM,,,,,,,Photo  ID and insurance   if  applicable ,Notify   office when outside for entry  into bldg ,No Vaccine Yet,-79.85847496,40.35233601
"Giant Eagle, Inc.",Giant Eagle Pharmacy #6386,"1700 New Butler Rd. New Castle, PA 16101",,1-800-553-2324,,Pharmacy,https://www.gianteagle.com/covidvaccine,9:00 AM,5:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,6:00 PM,Name / Date of Birth,Primary Corporate Contact - Chiara Gessler - chiara.gessler@gianteagle.com,No Vaccine Yet,-80.31309598,40.98480701
Penn State Health,Penn State Health St. Joseph Medical Center,"2500 Bernville Road Reading, PA 19605","Jeffrey Held, MD, Vice President of Medical Affairs",1-844-774-8883,n/a,Hospital,n/a,,,,,,,,,,,,,,,photo identification,Individuals calling to schedule should indicate they want their vaccination scheduled at St. Joseph's. Hours vary by day,Yes,-75.97867999,40.37550602
Penn State Health,Penn State Health Holy Spirit,"503 N. 21st Street Camp Hill, PA 17011","Bret DeLone, MD, Vice President Medical Affairs",1-844-774-8883,n/a,Hospital,n/a,,,,,,,,,,,,,,,photo identification,Hours vary by day,Yes,-76.92183697,40.25201301
"Giant Eagle, Inc.",Giant Eagle Pharmacy #2412,"2001 Lincoln Way White Oak, PA 15131",,1-800-553-2324,,Pharmacy,https://www.gianteagle.com/covidvaccine,9:00 AM,5:00 PM,8:00 AM,9:00 PM,8:00 AM,9:00 PM,8:00 AM,9:00 PM,8:00 AM,9:00 PM,8:00 AM,9:00 PM,9:00 AM,6:00 PM,Name / Date of Birth,Primary Corporate Contact - Chiara Gessler - chiara.gessler@gianteagle.com,No Vaccine Yet,-79.80544157,40.33742416
"Centerville Clinics, Inc.-Fredericktown","Centerville Clinics, Inc.-Fredericktown","1070 Old National Pike Road, Fredericktown, Pa 15333",Mary Burchick ,7246326801,covidvaccine@centervilleclinics.com,Federally Qualified Health Center (FQHC),https://centervilleclinics.com/centerville-clinics-inc-covid-19-vaccine-information/,,,9:00 AM,4:00 PM,9:00 AM,4:00 PM,9:00 AM,4:00 PM,9:00 AM,4:00 PM,9:00 AM,4:00 PM,,,"Photo Identification, Work ID Badge or letterhead from employer",We ask that an insurance card is presented at scheduled appointment time and require 24 hour notice for cancellation,Yes,-79.98363103,40.04732299
"Giant Eagle, Inc.",Giant Eagle Pharmacy #0016,1451 Scalp Ave. Johnstown PA 15904,,1-800-553-2324,,Pharmacy,https://www.gianteagle.com/covidvaccine,9:00 AM,5:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,6:00 PM,Name / Date of Birth,Primary Corporate Contact - Chiara Gessler - chiara.gessler@gianteagle.com,No Vaccine Yet,-78.85448387,40.27128609
"Centerville Clinics, Inc-Uniontown","Centerville Clinics, Inc-Uniontown","86 McClellandtown Road, Uniontown, PA 15401",Mary Burchick or Kelly Miskanin,7246326801,covidvaccine@centervilleclinics.com,Federally Qualified Health Center (FQHC),https://centervilleclinics.com/centerville-clinics-inc-covid-19-vaccine-information/,,,9:00 AM,4:00 PM,9:00 AM,4:00 PM,9:00 AM,4:00 PM,9:00 AM,4:00 PM,9:00 AM,4:00 PM,,,"Photo Identification, ID badge or letterhead for proof of 1A status",We ask that you contact our office withing 24 hours if you need to cancel your scheduled appointment.,Yes,-79.73594998,39.90257
"Centerville Clinics, Inc- Washington Office","Centerville Clinics, Inc.-Washington Office","37 Highland Avenue,  Washington,  PA  15401",Mary Burchick or Nicole McKeag,7246326801,covidvaccine@centervilleclinics.com,Federally Qualified Health Center (FQHC),https://centervilleclinics.com/centerville-clinics-inc-covid-19-vaccine-information/,,,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,,,"Photo ID, Work ID or letterhead for proof of 1A requirements",We ask that you if you need to cancel your appointment that you give use 24 hours notice.,Yes,-80.24505798,40.174885
Wellness Pharmacy Services,Wellness Pharmacy Services,"1427 Horsham Road, North Wales, PA 19454",Kayly Sie,2155501317,vaccine@wellnessltc.com,Pharmacy,https://www.wellnessltc.com/covid-vaccine,,,10:00 AM,6:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,"Government issued ID with proof of qualification for current phase (ie: professional license, work ID, paystub, etc)",Please fill out the form at https://www.wellnessltc.com/covid-vaccine first.  Qualified applicants will then receive an intake form for further screening before an appointment email is sent.,Yes,-75.20608424,40.22409298
LECOM Health,Millcreek Community Hospital,"5515 Peach Street, Erie, PA 16509",Marcus C. Babiak,8148688389,covidvax@mch1.org,Hospital,https://www.surveymonkey.com/r/3RJ3F9D,,,,,,,,,,,,,,,n/a,Please complete the following survey https://www.surveymonkey.com/r/3RJ3F9D,Yes,-80.09231699,42.07391299
Berks Community Health Center,Berks Community Health Center,"1110 Rockland Street, Reading, PA 19604","Lindsey Miller, COO",484-772-4075,LMiller@berkschc.org,Federally Qualified Health Center (FQHC),https://www.berkschc.net,,,,,,,,,,,,,,,,"Vaccination days will vary, more information available on website. ",Yes,-75.91467804,40.36429401
Main Line Health,MLH Lankenau Medical Center,"100 East Lancaster Avenue, Wynnewood, PA 19096",Lorraine Placido,4845801919,communitycovidvaccine@mlhs.org,Health System,https://www.mainlinehealth.org/conditions-and-treatments/conditions/covid-19,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,Government issue photo ID and validation of being in group 1a and from our service area,"Hours subject to change, no walk-ins accepted, all visits must be prescheduled via email.",Yes,-75.26194001,39.98809902
Main Line Health,MLH Paoli Hospital,"255 West Lancaster Avenue, Paoli, PA",Lorrain Placido,4845801919,communitycovidvaccine@mlhs.org,Health System,https://www.mainlinehealth.org/conditions-and-treatments/conditions/covid-19,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,Government issued photo ID and confirmation of tier 1a status,"No walk-ins accepted, all visits must be prescheduled via email.",Yes,-75.50104,40.044
Wayne Memorial Hospital,Wayne Memorial Hospital,601 Park St Honesdale Pa 18431,Jim Pettinato,570-253-8197,covidvaccine@wmh.org,Hospital,,,,7:00 AM,3:00 PM,,,7:00 AM,3:00 PM,,,,,,,,,Yes,-75.25603,41.57298
"Mercy Catholic Medical Center, Mercy Fitzgerald Campus","Mercy Catholic Medical Center, Mercy Fitzgerald Campus","1500 Lansdowne Avenue Darby, PA 19023",Kellyann Morrison,610-237-5785,MFHVaccine@mercyhealth.org,Hospital,https://www.trinityhealthma.org/covid-19/vaccine-request. ,,,,,,,,,,,,,,,"Proof of 1ai status, see website for details.",,Yes,-75.26795174,39.9265895
Monongahela Valley Hospital,Monongahela Valley Hospital,"1163 Country Club Road, Monongahela PA 15063",Monongahela Valley Hospital - Community Relations Department,724-258-1890,covidvaccine@monvalleyhospital.com,Hospital,,,,,,,,,,,,,,,,,,Yes,-79.911189,40.18199499
Grand View Health,Grand View Health,700 Lawn Ave. Sellersville Pa. 18960,Douglas Hughes,215-453-3589,vaccine@gvh.org,Hospital,https://www.gvh.org/covid-vaccine/,,,,,,,,,,,,,,,"Work ID, drivers license",We are not yet having any clinics for the community.,No Vaccine Yet,-75.32668301,40.36300801
WEST PERRY PHARMACY ,WEST PERRY PHARMACY ,"1102 MONTOUR RD, LOYSVILLE, PA 17047",BRYAN GOBIN,7173238230,VACCINE@CAREOPTIONSRX.COM,Pharmacy,,,,12:00 PM,4:00 PM,10:00 AM,6:00 PM,10:00 AM,5:00 PM,10:00 AM,6:00 PM,10:00 AM,5:00 PM,,,Need to know where you work to make sure you qualify for Phase 1 vaccine,,Yes,-77.34029683,40.36433851
Geisinger Health System ,Geisinger Medical Center ,,COVID Hotline Vaccine ,570-284-3657, covidvaccine@geisinger.edu,Hospital,https://www.geisinger.org/covidvax,,,,,,,,,,,,,,,ID requirements are as follows: Medical/provider license ID Employer ID (if available) Letter on letterhead from provider practice office,,Yes,-76.60107997,40.97124002
Geisinger Health System,Geisinger Wyoming Valley ,,COVID Hotline Vaccine ,570-284-3657, covidvaccine@geisinger.edu,Hospital,https://www.geisinger.org/covidvax,,,,,,,,,,,,,,,ID requirements are as follows: Medical/provider license ID Employer ID (if available) Letter on letterhead from provider practice office,,Yes,-75.81175821,41.25685238
Allentown Health Bureau,Allentown Health Bureau,"245 N 6th Street, Allentown, PA 18102",clinicalcommunicabledisease.gov,,clinicalcommunicabledisease@allentownpa.gov,Other,allentownpa.gov,,,9:00 AM,3:00 PM,9:00 AM,3:00 PM,9:00 AM,11:00 AM,9:00 AM,4:00 PM,9:00 AM,4:00 PM,,,Word of Honor,We start a half hour earlier and end a half hour later but your survey doesn't do half hours. We are a public health department but you don't have that as an option and we answer far quicker by email than phone,No Vaccine Yet,-75.47160097,40.60677915
Lehigh Valley Health Network,Lehigh Valley Hospital Cedar Crest,1200 S Cedar Crest Blvd Allentown PA 18103,Luis Puentes,833-584-6283,COVID-Vaccine-Request@lvhn.org,Hospital,https://www.LVHN.org/vaccines,8:00 AM,12:00 PM,8:00 AM,7:00 PM,8:00 AM,7:00 PM,8:00 AM,7:00 PM,8:00 AM,7:00 PM,8:00 AM,7:00 PM,8:00 AM,12:00 PM,Government issued identification,,Yes,-75.52924502,40.56846698
lehigh Valley Health Network,Lehigh Valley Hospital Muhlenberg,2545 Schonersville Rd Bethlehem PA 18109,Luis Puentes,833-584-6283,COVID-Vaccine-Request@lvhn.org,Hospital,https://www.LVHN.org/vaccines,,,1:00 PM,6:00 PM,7:00 AM,12:00 PM,1:00 PM,6:00 PM,7:00 AM,12:00 PM,1:00 PM,6:00 PM,,,Government issues identification,,Yes,-75.40904199,40.644151
Lehigh Valley Health Network,Lehigh Valley Hospital Schuylkill,700 E Norwegian Street Pottsville Pa 17901,Luis Puentes,833-584-6283,COVID-Vaccine-Request@lvhn.org,Hospital,https://www.LVHN.org/vaccines,8:00 AM,12:00 PM,1:00 PM,6:00 PM,7:00 AM,12:00 PM,1:00 PM,6:00 PM,7:00 AM,12:00 PM,7:00 AM,12:00 PM,8:00 AM,12:00 PM,Government Issued Identification,,Yes,-76.188244,40.69091301
Lehigh Valley Health Network,Lehigh Valley Hospital Pocono,206 E Brown Street East Stroudsburg Pa 18301,Luis Puentes,833-584-6283,COVID-Vaccine-Request@lvhn.org,Hospital,https://www.LVHN.org/vaccines,8:00 AM,12:00 PM,1:00 PM,6:00 PM,7:00 AM,12:00 PM,1:00 PM,6:00 PM,7:00 AM,12:00 PM,12:00 PM,5:00 PM,8:00 AM,12:00 PM,Government issued Identification,,Yes,-75.17472467,40.99229445
Lehigh Valley Health Network,Lehigh Valley Hospital Hazleton,700 e broad st Hazleton PA 18201,Luis Puentes,833-584-6283,COVID-Vaccine-Request@lvhn.org,Hospital,https://www.LVHN.org/vaccines,8:00 AM,12:00 PM,12:00 PM,5:00 PM,7:00 AM,12:00 PM,12:00 PM,5:00 PM,7:00 AM,12:00 PM,12:00 PM,5:00 PM,8:00 AM,12:00 PM,government issued identification,,Yes,-75.96239697,40.94935102
City of York-Bureau of Health ,City of York-Bureau of Health ,435 W. Philadelphia St. York PA 17401,Debbie Stoops,7178492299,mkruger@yorkcity.org ,Other,,,,,,,,,,,,,,,,,We do not have vaccine. Contact is main office staff at this time.  Location of where it will be provided may not be the same as our clinic location. ,No Vaccine Yet,-76.73929287,39.96060547
Butler Health System,Clarion Hospital,"1 Hospital Drive, Clarion, PA  16214",Leslie Walters,8142234157,vaccstaff@butlerhealthsystem.org,Health System,,,,,,,,,,,,,,,,Photo ID and/or Employee ID,,Yes,-79.39771999,41.19201
Saint John Vianney Center,Saint John Vianney Center,"151 Woodbine Road, Downingtown, PA  19335","Wendy Clayton, MSN, RN, Director of Nursing",610-518-2080,wclayton@sjvcenter.org,Other,"Available for EMS, Fire, and Police",,,,,,,,,,,,,,,Drivers License,Please call for appointment availability. ,Yes,-75.6789791,40.0151782
The Wright Cente for Community Health,Mid Valley Practice,"5 S. Washington Ave., Jermyn PA  18433",Sheila Ford,570-230-0019,twc-covid19-vaccine@thewrightcenter.org,Federally Qualified Health Center (FQHC),,,,8:00 AM,6:00 PM,8:00 AM,6:00 PM,8:00 AM,6:00 PM,8:00 AM,6:00 PM,8:00 AM,6:00 PM,,,Employee Identification or a Letter on Company Letterhead that the employee is part of 1a,,Yes,-75.55034596,41.520433
The Wright Center for Community Health,Clark Summit Practice,"1145 Northern Blvd, Clarks Summit, PA, 18411",Sheila Ford,5702300019,twc-covid19-vaccine@thewrightcenter.org,Federally Qualified Health Center (FQHC),,,,8:00 AM,2:00 PM,9:00 AM,3:00 PM,8:00 AM,2:00 PM,9:00 AM,3:00 PM,9:00 AM,3:00 PM,,,Employee Identification or Letter on Company Letterhead indicating employee is in Phase 1a,,Yes,-75.69520295,41.48716126
Northern Bedford Pharmacy,Northern Bedford Pharmacy,"3499 Brumbaugh Rd New Enterprise, PA 16664",Joseph Breton,814-766-0124,nbpharmacy@atlanticbbn.net,Pharmacy,,,,8:00 AM,8:00 PM,8:00 AM,6:00 PM,8:00 AM,6:00 PM,8:00 AM,6:00 PM,8:00 AM,6:00 PM,,,Please have a photo Id and/or an id that would show your qualification as a healthcare workier,,No Vaccine Yet,-78.41710697,40.17001
Select Specialty Hospital - Harrisburg,Select Specialty Hospital - Harrisburg,"111 South Front Street Alex Grass Building, 5th Floor Harrisburg, PA 17101",Allison Govern ,7177246620,AGovern@selectmedical.com or kkindler@selectmedical.com,Hospital,,,,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,,,ID ,,No Vaccine Yet,-76.88050002,40.25778001
LECOM Health Corry Memorial Hospital,LECOM Health Corry Memorial Hospital,"965 Shamrock Lane, Corry, PA  16407",Patricia White RN,814-664-4641  Ext. 1066,pwhite@corryhospital.com,Hospital,,,,1:00 PM,3:00 PM,9:00 AM,10:00 AM,,,,,,,,,Employer ID Badge or Photo ID,Scheduled by appointment only - walk-ins will not be accepted.,Yes,-79.61301854,41.93532563
The Wright Center for Community Health ,Kingston Practice,"2 Sharpe St., Kingston PA 18704",Sheila Ford,5702300019,twc-covid19-vaccine@thewrightcenter.org,Federally Qualified Health Center (FQHC),,,,8:00 AM,6:00 PM,8:00 AM,6:00 PM,8:00 AM,12:00 PM,8:00 AM,6:00 PM,8:00 AM,6:00 PM,,,Copy of Employee Identification Badge or Letter on Company indicating the person is in Phase 1a,"the times for Monday, Tuesday, Thursday and Friday are 8:30am to 6pm but there was no choice for 8:30am and For Wednesday it is 8:30am to 12pm ",Yes,-75.88860514,41.26974833
The Wright Center for Community Health ,Scranton Practice Location,"501 S. Washington Ave., Suite 1000 Scranton, PA 18505",Sheila Ford,5702300019,twc-covid19-vaccine@thewrightcenter.org,Federally Qualified Health Center (FQHC),,,,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,Copy of Employee Identification Badge or Letter on Company indicating the person is in Phase 1a,,Yes,-75.66918199,41.40186201
The Wright Center for Community Health,Hawley Practice,"103 Spruce St., Hawley PA 18428",Sheila Ford,5702300019,twc-covid19-vaccine@thewrightcenter.org,Federally Qualified Health Center (FQHC),,,,10:00 AM,4:00 PM,,,10:00 AM,4:00 PM,10:00 AM,4:00 PM,10:00 AM,4:00 PM,,,Copy of Employee Identification Badge or Letter on Company indicating the person is in Phase 1a,,Yes,-75.18237103,41.48207201
The Wright Center for Community Health,West Scranton School Based,"1401 Fellows St., Scranton PA 18504",Sheila Ford,5702300019,twc-covid19-vaccine@thewrightcenter.org,Federally Qualified Health Center (FQHC),,,,10:00 AM,4:00 PM,10:00 AM,4:00 PM,10:00 AM,4:00 PM,10:00 AM,4:00 PM,10:00 AM,4:00 PM,,,Copy of Employee Identification Badge or Letter on Company indicating the person is in Phase 1a,Can accomodate 9:30am appointments Monday through Friday,Yes,-75.69142001,41.40878199
